"Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2018&sourcekey=0"
"Wed Jan 23 2019 09:21:41 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Compressed / Liquefied Natural Gas,"Energy Use: Transportation: Natural Gas": Reference case,2-AEO2018.66.ref2018-d121317a,"quads",0.073835,0.082533,0.093438,0.103356,0.108517,0.147412,0.160045,0.168717,0.171097,0.179537,0.192697,0.204587,0.217271,0.230098,0.243159,0.257065,0.270604,0.284551,0.299648,0.313932,0.32769,0.347459,0.363091,0.379945,0.398693,0.418699,0.435249,0.454077,0.4728,0.492664,0.511884,0.534235,0.557555,0.581241,0.606498,"6.2%"
Hydrogen,"Energy Use: Transportation: Hydrogen": Reference case,2-AEO2018.67.ref2018-d121317a,"quads",0.000531,0.000804,0.001604,0.002753,0.004606,0.006974,0.009575,0.012144,0.014865,0.017935,0.020823,0.023317,0.025422,0.027414,0.029328,0.031103,0.032771,0.034352,0.035864,0.037282,0.038664,0.03993,0.041101,0.042174,0.043233,0.044232,0.045195,0.046112,0.04703,0.04797,0.048937,0.049944,0.050994,0.052089,0.05326,"13.5%"
Electricity,"Energy Use: Transportation: Electricity": Reference case,2-AEO2018.68.ref2018-d121317a,"quads",0.034225,0.038371,0.042713,0.049297,0.059222,0.071994,0.08609,0.100956,0.116505,0.134307,0.152473,0.169754,0.186899,0.204621,0.222934,0.241951,0.26236,0.281266,0.299157,0.317016,0.335299,0.353419,0.371323,0.389018,0.40664,0.423808,0.440681,0.45716,0.473412,0.489482,0.505439,0.521457,0.537458,0.553559,0.570033,"8.5%"
Delivered Energy,"Energy Use: Transportation: Delivered Energy": Reference case,2-AEO2018.69.ref2018-d121317a,"quads",27.592264,27.698818,27.641533,27.655392,27.339993,27.132414,26.765125,26.369162,25.98554,25.57752,25.240143,24.963196,24.725197,24.511251,24.324011,24.169636,24.039656,23.920288,23.836025,23.780703,23.778763,23.768925,23.791195,23.826742,23.887924,23.972813,24.076878,24.200537,24.345627,24.487545,24.649824,24.831287,25.029579,25.241104,25.444736,"-0.3%"
Electricity Related Losses,"Energy Use: Transportation: Electricity Related Losses": Reference case,2-AEO2018.70.ref2018-d121317a,"quads",0.06829,0.075456,0.083479,0.095585,0.114463,0.138003,0.163693,0.190345,0.219551,0.252483,0.286076,0.317554,0.348422,0.380679,0.413458,0.446618,0.482944,0.516861,0.548168,0.580156,0.611958,0.64347,0.674256,0.70487,0.735271,0.763613,0.790609,0.817294,0.843394,0.868012,0.89255,0.917435,0.942448,0.967815,0.990426,"8.1%"
Total,"Energy Use: Transportation: Total": Reference case,2-AEO2018.71.ref2018-d121317a,"quads",27.660555,27.774275,27.725012,27.750977,27.454456,27.270418,26.928818,26.559505,26.205091,25.830004,25.526218,25.28075,25.07362,24.89193,24.737469,24.616255,24.5226,24.437149,24.384193,24.360859,24.39072,24.412395,24.46545,24.531612,24.623196,24.736425,24.867487,25.01783,25.18902,25.355556,25.542374,25.748722,25.972027,26.20892,26.435163,"-0.1%"
Unspecified Sector,,2-AEO2018.73.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"Energy Use: Unspecified: Total": Reference case,2-AEO2018.77.ref2018-d121317a,"quads",0.141624,0.14874,0.571667,0.506851,0.438542,0.452433,0.460933,0.468207,0.477059,0.486572,0.496418,0.507422,0.520221,0.53305,0.545092,0.557044,0.569375,0.581105,0.592479,0.603595,0.614553,0.624984,0.635609,0.64646,0.657507,0.667854,0.678502,0.689246,0.700074,0.711337,0.722763,0.734081,0.745563,0.756985,0.76877,"5.1%"
Delivered Energy Consumption, All Sectors,,2-AEO2018.79.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Delivered: All Sectors: Liquefied Petroleum Gases": Reference case,2-AEO2018.80.ref2018-d121317a,"quads",3.265371,3.38439,3.625172,3.579152,3.731014,3.82622,3.914115,4.012937,4.123376,4.17135,4.205503,4.258448,4.328521,4.385539,4.435708,4.479006,4.501757,4.541327,4.552022,4.559964,4.575576,4.610242,4.665123,4.678509,4.68292,4.695891,4.689425,4.690689,4.694005,4.69945,4.69805,4.704723,4.708876,4.710485,4.718687,"1.0%"
Motor Gasoline,"Energy Use: Delivered: All Sectors: Motor Gasoline": Reference case,2-AEO2018.81.ref2018-d121317a,"quads",17.27705,17.23896,17.391045,17.21237,16.864843,16.470007,16.052402,15.612072,15.145384,14.684919,14.320889,13.997288,13.710507,13.449173,13.212314,13.004557,12.818046,12.643384,12.487377,12.348472,12.248842,12.153487,12.078711,12.020163,11.984694,11.959638,11.950689,11.956068,11.979006,12.000218,12.038378,12.093143,12.169532,12.258808,12.333365,"-1.0%"
of which:  E85,"Energy Use: Delivered: All Sectors: E85": Reference case,2-AEO2018.82.ref2018-d121317a,"quads",0.008399,0.010139,0.039073,0.050987,0.060694,0.071938,0.091485,0.130998,0.170948,0.216749,0.227029,0.250105,0.2602,0.267169,0.274681,0.262179,0.26136,0.272765,0.284902,0.296477,0.301605,0.306541,0.308932,0.307195,0.3013,0.292642,0.282351,0.271589,0.252464,0.254893,0.255606,0.246459,0.211302,0.171427,0.16217,"8.8%"
Jet Fuel,"Energy Use: Delivered: All Sectors: Jet Fuel": Reference case,2-AEO2018.83.ref2018-d121317a,"quads",3.333664,3.417866,3.45746,3.517805,3.558178,3.614527,3.667471,3.71157,3.763518,3.81769,3.874047,3.934736,4.004868,4.074996,4.14186,4.208073,4.276619,4.342299,4.408159,4.474495,4.541128,4.604391,4.669665,4.735752,4.803049,4.868456,4.935071,5.002616,5.071,5.140934,5.211776,5.282762,5.35384,5.42396,5.497342,"1.5%"
Kerosene,"Energy Use: Delivered: All Sectors: Kerosene": Reference case,2-AEO2018.84.ref2018-d121317a,"quads",0.011308,0.013413,0.013131,0.012353,0.011573,0.011041,0.010616,0.010574,0.010527,0.010531,0.010553,0.010563,0.010572,0.010555,0.010568,0.010567,0.010581,0.010597,0.010617,0.010654,0.010692,0.010667,0.010698,0.010723,0.010758,0.010792,0.010859,0.010927,0.011004,0.011083,0.011187,0.011255,0.011311,0.0114,0.011486,"-0.5%"
Distillate Fuel Oil,"Energy Use: Delivered: All Sectors: Distillate Fuel Oil": Reference case,2-AEO2018.85.ref2018-d121317a,"quads",8.025601,8.225604,8.497935,8.500468,8.530528,8.356222,8.352605,8.338477,8.320196,8.286767,8.261413,8.221948,8.17998,8.134063,8.09839,8.065339,8.030905,7.999781,7.987066,7.988061,7.99916,8.008249,8.026463,8.04075,8.059022,8.092664,8.121365,8.154666,8.192272,8.221695,8.253539,8.291321,8.324255,8.353774,8.389745,"0.1%"
Residual Fuel Oil,"Energy Use: Delivered: All Sectors: Residual Fuel Oil": Reference case,2-AEO2018.86.ref2018-d121317a,"quads",0.747445,0.751553,0.780533,0.76602,0.563653,0.793665,0.748497,0.734318,0.767959,0.776794,0.751709,0.753109,0.751324,0.748454,0.745914,0.741557,0.737259,0.732207,0.72676,0.721231,0.71971,0.702579,0.696771,0.688038,0.679367,0.669445,0.66609,0.66285,0.662515,0.662716,0.667568,0.666547,0.660272,0.658423,0.65203,"-0.4%"
Petrochemical Feedstocks,"Energy Use: Delivered: All Sectors: Petrochemical Feedstocks": Reference case,2-AEO2018.87.ref2018-d121317a,"quads",0.6425,0.7112,0.7336,0.801519,0.854914,0.890843,0.927457,0.971709,1.021586,1.046614,1.064668,1.089299,1.121241,1.149436,1.174125,1.195683,1.208448,1.228037,1.234779,1.239385,1.247324,1.263681,1.291112,1.29959,1.300585,1.307737,1.305369,1.305688,1.30656,1.308335,1.307523,1.309595,1.31202,1.312574,1.31636,"1.9%"
Other Petroleum,"Energy Use: Delivered: All Sectors: Other Petroleum": Reference case,2-AEO2018.88.ref2018-d121317a,"quads",3.530338,3.567689,3.748324,3.8292,3.746723,3.688949,3.694039,3.705073,3.720116,3.731181,3.713781,3.743077,3.76119,3.778451,3.791663,3.85083,3.861786,3.883379,3.912441,3.950224,3.974096,3.995815,4.027503,4.054446,4.089016,4.107419,4.127371,4.153289,4.167607,4.193757,4.222831,4.261649,4.30258,4.334828,4.372978,"0.6%"
Petroleum and Other Liquids Subtotal,"Energy Use: Delivered: All Sectors: Liquid Fuels Subtotal": Reference case,2-AEO2018.89.ref2018-d121317a,"quads",36.833279,37.310677,38.2472,38.218884,37.861423,37.65147,37.367199,37.096733,36.872662,36.525848,36.20256,36.008469,35.868202,35.730667,35.610542,35.555611,35.445404,35.381012,35.319221,35.292488,35.316528,35.34911,35.466045,35.527969,35.609413,35.712044,35.80624,35.936794,36.083969,36.238186,36.410851,36.620998,36.84269,37.064255,37.291992,"-0.0%"
Natural Gas,"Energy Use: Delivered: All Sectors: Natural Gas": Reference case,2-AEO2018.90.ref2018-d121317a,"quads",15.808013,15.944488,16.725771,16.772648,17.056345,17.232643,17.358335,17.455418,17.426857,17.430822,17.477776,17.566921,17.679003,17.770643,17.866804,17.95961,18.072485,18.177866,18.287521,18.406101,18.488762,18.628096,18.771172,18.891842,19.016218,19.143282,19.24678,19.372522,19.490187,19.622267,19.726664,19.833723,19.956282,20.073952,20.199099,"0.7%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Delivered: All Sectors: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2018.91.ref2018-d121317a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Delivered: All Sectors: Lease and Plant Fuel": Reference case,2-AEO2018.92.ref2018-d121317a,"quads",1.648689,1.670296,1.786715,1.882467,1.937797,1.973096,1.99842,2.018893,2.038713,2.056597,2.084715,2.100262,2.122325,2.130246,2.138379,2.145393,2.149571,2.15038,2.162095,2.167143,2.178218,2.199737,2.20333,2.213326,2.236494,2.244883,2.253572,2.262454,2.267739,2.267341,2.274012,2.286206,2.296753,2.302471,2.311846,"1.0%"
Natural Gas to Liquefy Gas for Export,"Energy Use: Delivered: All Sectors: Liquefaction": Reference case,2-AEO2018.93.ref2018-d121317a,"quads",0.019357,0.069542,0.115195,0.201564,0.314271,0.327013,0.347733,0.389173,0.43752,0.47896,0.506587,0.534213,0.548027,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,"6.5%"
Pipeline and Distribution Fuel Natural Gas,"Energy Use: Delivered: All Sectors: Pipeline Natural Gas": Reference case,2-AEO2018.94.ref2018-d121317a,"quads",0.703317,0.63503,0.665127,0.681495,0.683776,0.680327,0.686263,0.692035,0.69709,0.70089,0.697811,0.700854,0.703489,0.704967,0.703187,0.703592,0.705288,0.704845,0.706513,0.708367,0.712036,0.713813,0.715409,0.717199,0.717391,0.718929,0.72312,0.727185,0.728779,0.732292,0.735375,0.73657,0.739998,0.742767,0.747145,"0.5%"
Natural Gas Subtotal,"Energy Use: Delivered: All Sectors: Natural Gas Subtotal": Reference case,2-AEO2018.95.ref2018-d121317a,"quads",18.179377,18.319353,19.292807,19.538174,19.992189,20.213078,20.390751,20.555519,20.600182,20.667269,20.766888,20.90225,21.052843,21.160789,21.263302,21.363529,21.482277,21.588026,21.711063,21.836544,21.93395,22.096581,22.244843,22.3773,22.525036,22.662027,22.778406,22.917097,23.041637,23.176834,23.290983,23.411432,23.547966,23.674124,23.813023,"0.8%"
Metallurgical Coal,"Energy Use: Delivered: All Sectors: Metallurgical Coal": Reference case,2-AEO2018.96.ref2018-d121317a,"quads",0.4702,0.5233,0.4575,0.450339,0.489366,0.471424,0.436016,0.426096,0.436419,0.442796,0.44516,0.450929,0.456103,0.451199,0.46567,0.476082,0.480758,0.491432,0.498715,0.507678,0.508721,0.518563,0.516126,0.516484,0.517197,0.520041,0.519462,0.521442,0.516759,0.513712,0.510887,0.512481,0.517527,0.516357,0.510288,"-0.1%"
Other Coal,"Energy Use: Delivered: All Sectors: Other Coal": Reference case,2-AEO2018.97.ref2018-d121317a,"quads",0.715777,0.665795,0.688679,0.725811,0.754902,0.76718,0.778705,0.785254,0.793576,0.792293,0.790208,0.787137,0.783044,0.773026,0.767011,0.761993,0.754123,0.747921,0.742363,0.735583,0.735409,0.73535,0.73451,0.732915,0.7327,0.733411,0.732758,0.732433,0.732142,0.732355,0.732826,0.73346,0.734207,0.733803,0.732935,"0.3%"
Coal-to-Liquids Heat and Power,"Energy Use: Delivered: All Sectors: Coal-to-Liquids Heat and Power": Reference case,2-AEO2018.98.ref2018-d121317a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Net Coal Coke Imports,"Energy Use: Delivered: All Sectors: Net Coal Coke Imports": Reference case,2-AEO2018.99.ref2018-d121317a,"quads",-0.0191,-0.0159,-0.028976,-0.023348,-0.025261,-0.024344,-0.028721,-0.025566,-0.025276,-0.023809,-0.022798,-0.021703,-0.02074,-0.019914,-0.019145,-0.018367,-0.017714,-0.01711,-0.016565,-0.016167,-0.015824,-0.015571,-0.01541,-0.015386,-0.015124,-0.014813,-0.014612,-0.01466,-0.014631,-0.0146,-0.0145,-0.014353,-0.014127,-0.014135,-0.014162,"-0.4%"
Coal Subtotal,"Energy Use: Delivered: All Sectors: Coal Subtotal": Reference case,2-AEO2018.100.ref2018-d121317a,"quads",1.166877,1.173195,1.117203,1.152801,1.219008,1.21426,1.186001,1.185784,1.20472,1.21128,1.212571,1.216363,1.218407,1.204311,1.213536,1.219708,1.217166,1.222243,1.224513,1.227093,1.228305,1.238342,1.235225,1.234013,1.234773,1.238639,1.237608,1.239214,1.23427,1.231468,1.229214,1.231588,1.237607,1.236025,1.229061,"0.1%"
Biofuels Heat and Coproducts,"Energy Use: Delivered: All Sectors: Biofuels Heat and Coproducts": Reference case,2-AEO2018.101.ref2018-d121317a,"quads",0.82951,0.816852,0.810672,0.849826,0.850843,0.852107,0.85361,0.85493,0.848787,0.857991,0.852363,0.853823,0.860123,0.861373,0.863222,0.859328,0.861756,0.859228,0.861106,0.86265,0.862646,0.862639,0.862639,0.862624,0.85708,0.858405,0.857001,0.845871,0.845372,0.842652,0.83566,0.831985,0.830595,0.828966,0.825093,"0.0%"
Renewable Energy,"Energy Use: Delivered: All Sectors: Renewable Energy": Reference case,2-AEO2018.102.ref2018-d121317a,"quads",1.948313,1.923646,1.930991,1.987711,2.066303,2.119554,2.167827,2.206272,2.243393,2.264321,2.292295,2.327933,2.368509,2.402493,2.447175,2.491962,2.530265,2.560654,2.593219,2.616622,2.648938,2.676346,2.706451,2.737856,2.773314,2.813772,2.850592,2.883744,2.917441,2.947869,2.977167,3.009054,3.035949,3.058968,3.085419,"1.4%"
Hydrogen,"Energy Use: Delivered: All Sectors: Hydrogen": Reference case,2-AEO2018.103.ref2018-d121317a,"quads",0.000531,0.000804,0.001604,0.002753,0.004606,0.006974,0.009575,0.012144,0.014865,0.017935,0.020823,0.023317,0.025422,0.027414,0.029328,0.031103,0.032771,0.034352,0.035864,0.037282,0.038664,0.03993,0.041101,0.042174,0.043233,0.044232,0.045195,0.046112,0.04703,0.04797,0.048937,0.049944,0.050994,0.052089,0.05326,"13.5%"
Electricity,"Energy Use: Delivered: All Sectors: Electricity": Reference case,2-AEO2018.104.ref2018-d121317a,"quads",12.669767,12.560273,12.727874,12.986391,13.046304,13.089038,13.160785,13.243669,13.329659,13.388811,13.456843,13.539684,13.629003,13.709899,13.756875,13.814327,13.872774,13.939459,14.019952,14.109013,14.201269,14.298756,14.400983,14.497993,14.57716,14.664832,14.753076,14.847896,14.945845,15.048847,15.161983,15.276516,15.380594,15.486096,15.608787,"0.7%"
Delivered Energy,"Energy Use: Delivered: All Sectors: Delivered Energy": Reference case,2-AEO2018.105.ref2018-d121317a,"quads",71.627655,72.104797,74.128349,74.736542,75.04068,75.146477,75.13575,75.155052,75.114273,74.933456,74.804344,74.871841,75.022507,75.096947,75.183983,75.335571,75.442413,75.584976,75.764938,75.981689,76.230301,76.561707,76.957291,77.27993,77.62001,77.99395,78.328117,78.716728,79.115562,79.533829,79.954796,80.431519,80.926392,81.400528,81.906631,"0.4%"
Electricity Related Losses,"Energy Use: Delivered: All Sectors: Electricity Related Losses": Reference case,2-AEO2018.106.ref2018-d121317a,"quads",25.280813,24.699383,24.875168,25.179983,25.215576,25.089882,25.024178,24.97002,25.119408,25.169622,25.248249,25.328262,25.407486,25.506065,25.513809,25.499886,25.536562,25.615503,25.689842,25.820259,25.918921,26.033726,26.149578,26.269211,26.357876,26.422951,26.467888,26.544529,26.626333,26.686508,26.774418,26.877014,26.970289,27.075123,27.12009,"0.3%"
Total,"Energy Use: Delivered: All Sectors: Total": Reference case,2-AEO2018.107.ref2018-d121317a,"quads",96.90847,96.804184,99.003517,99.916527,100.256256,100.236359,100.159927,100.125076,100.233681,100.103081,100.052597,100.200104,100.429993,100.603012,100.697792,100.835457,100.978973,101.200478,101.454781,101.801949,102.149223,102.595428,103.106873,103.549141,103.97789,104.416901,104.796005,105.261261,105.741898,106.220337,106.729218,107.308533,107.896683,108.475647,109.026718,"0.4%"
Electric Power,,2-AEO2018.110.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distillate Fuel Oil,"Energy Use: Electric Power: Distillate Fuel Oil": Reference case,2-AEO2018.111.ref2018-d121317a,"quads",0.06051,0.099836,0.098069,0.096392,0.095072,0.09329,0.091683,0.091697,0.092895,0.093044,0.087966,0.083423,0.078561,0.077775,0.077073,0.074082,0.073565,0.072952,0.07267,0.072433,0.072822,0.072083,0.069734,0.070057,0.069951,0.068999,0.06799,0.06745,0.06724,0.066539,0.066465,0.066717,0.066743,0.067227,0.067292,"-1.2%"
Residual Fuel Oil,"Energy Use: Electric Power: Residual Fuel Oil": Reference case,2-AEO2018.112.ref2018-d121317a,"quads",0.19176,0.09439,0.091603,0.052422,0.050176,0.048602,0.047722,0.046598,0.045652,0.043247,0.041625,0.040986,0.04121,0.04061,0.039177,0.037784,0.037518,0.037451,0.037304,0.037183,0.036508,0.0359,0.035167,0.034353,0.034627,0.032121,0.029585,0.027221,0.024373,0.021344,0.02136,0.021469,0.022338,0.020695,0.020685,"-4.5%"
Petroleum and Other Liquids Subtotal,"Energy Use: Electric Power: Liquid Fuels Subtotal": Reference case,2-AEO2018.113.ref2018-d121317a,"quads",0.25227,0.194226,0.189672,0.148814,0.145249,0.141892,0.139405,0.138295,0.138546,0.136291,0.129591,0.124409,0.11977,0.118385,0.116251,0.111866,0.111083,0.110404,0.109974,0.109616,0.10933,0.107983,0.104901,0.10441,0.104577,0.10112,0.097575,0.09467,0.091613,0.087883,0.087825,0.088186,0.08908,0.087923,0.087977,"-2.4%"
Natural Gas,"Energy Use: Electric Power: Natural Gas": Reference case,2-AEO2018.114.ref2018-d121317a,"quads",10.30898,9.321987,9.892644,10.525043,10.077778,9.988259,10.123441,10.232223,10.075278,10.154649,10.143605,10.25335,10.431893,10.518638,10.519619,10.571228,10.543083,10.545067,10.653153,10.653596,10.745184,10.851613,10.873418,10.933659,11.052462,11.148137,11.288658,11.369835,11.33068,11.356624,11.435842,11.522874,11.63368,11.662578,11.829764,"0.7%"
Steam Coal,"Energy Use: Electric Power: Steam Coal": Reference case,2-AEO2018.115.ref2018-d121317a,"quads",12.997111,13.024651,12.863094,12.28737,12.200108,11.829651,11.482899,11.530068,11.914786,12.062606,12.246058,12.228502,12.166786,12.209641,12.220055,12.108222,12.031263,11.984757,11.95861,11.932036,11.959494,11.936449,11.942041,11.953506,11.90567,11.885457,11.796759,11.783436,11.88747,11.89116,11.825277,11.822505,11.80346,11.894258,11.921656,"-0.3%"
Nuclear / Uranium,"Energy Use: Electric Power: Nuclear": Reference case,2-AEO2018.116.ref2018-d121317a,"quads",8.41234,8.287642,8.336771,8.243436,7.998315,7.962131,7.986127,7.793252,7.728516,7.516317,7.423123,7.423005,7.412681,7.386035,7.278994,7.20351,7.212718,7.185739,7.020208,6.993385,6.914237,6.90416,6.917067,6.93979,6.963419,6.964141,6.946582,6.929029,6.91466,6.85579,6.798234,6.768588,6.755948,6.755948,6.641244,"-0.7%"
Renewable Energy,"Energy Use: Electric Power: Renewable Energy": Reference case,2-AEO2018.117.ref2018-d121317a,"quads",5.606099,6.078994,5.976521,6.625526,7.510946,7.929682,8.132627,8.198791,8.273252,8.368164,8.443533,8.513473,8.579116,8.655167,8.806457,8.989463,9.182208,9.40065,9.640676,9.913737,10.064345,10.207446,10.386398,10.509626,10.583465,10.663998,10.766995,10.891596,11.02443,11.221273,11.46741,11.630202,11.748134,11.840558,11.928901,"2.1%"
Non-biogenic Municipal Waste,"Energy Use: Electric Power: Non-biogenic Municipal Waste": Reference case,2-AEO2018.118.ref2018-d121317a,"quads",0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,"0.0%"
Electricity Imports,"Energy Use: Electric Power: Electricity Imports": Reference case,2-AEO2018.119.ref2018-d121317a,"quads",0.241284,0.219666,0.211847,0.203689,0.196993,0.194811,0.187973,0.188565,0.186192,0.187911,0.186685,0.192714,0.19375,0.19561,0.196814,0.197429,0.196488,0.19585,0.19468,0.194408,0.19511,0.192342,0.194239,0.193721,0.19295,0.19244,0.191903,0.191368,0.190831,0.190132,0.189319,0.188683,0.188087,0.18746,0.18684,"-0.5%"
Total,"Energy Use: Electric Power: Total": Reference case,2-AEO2018.120.ref2018-d121317a,"quads",37.950581,37.259655,37.603043,38.166374,38.261879,38.178921,38.184963,38.213688,38.449066,38.558434,38.705093,38.867947,39.036488,39.215965,39.270683,39.314213,39.409336,39.554962,39.709793,39.929272,40.12019,40.332481,40.55056,40.767204,40.935036,41.087784,41.220963,41.392426,41.572178,41.735355,41.936401,42.15353,42.350883,42.561218,42.728878,"0.4%"
Total Energy Consumption,,2-AEO2018.122.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Total: Liquefied Petroleum Gases": Reference case,2-AEO2018.123.ref2018-d121317a,"quads",3.265371,3.38439,3.625172,3.579152,3.731014,3.82622,3.914115,4.012937,4.123376,4.17135,4.205503,4.258448,4.328521,4.385539,4.435708,4.479006,4.501757,4.541327,4.552022,4.559964,4.575576,4.610242,4.665123,4.678509,4.68292,4.695891,4.689425,4.690689,4.694005,4.69945,4.69805,4.704723,4.708876,4.710485,4.718687,"1.0%"
Motor Gasoline,"Energy Use: Total: Motor Gasoline": Reference case,2-AEO2018.124.ref2018-d121317a,"quads",17.27705,17.23896,17.391045,17.21237,16.864843,16.470007,16.052402,15.612072,15.145384,14.684919,14.320889,13.997288,13.710507,13.449173,13.212314,13.004557,12.818046,12.643384,12.487377,12.348472,12.248842,12.153487,12.078711,12.020163,11.984694,11.959638,11.950689,11.956068,11.979006,12.000218,12.038378,12.093143,12.169532,12.258808,12.333365,"-1.0%"
of which:  E85,"Energy Use: Total: E85": Reference case,2-AEO2018.125.ref2018-d121317a,"quads",0.008399,0.010139,0.039073,0.050987,0.060694,0.071938,0.091485,0.130998,0.170948,0.216749,0.227029,0.250105,0.2602,0.267169,0.274681,0.262179,0.26136,0.272765,0.284902,0.296477,0.301605,0.306541,0.308932,0.307195,0.3013,0.292642,0.282351,0.271589,0.252464,0.254893,0.255606,0.246459,0.211302,0.171427,0.16217,"8.8%"
Jet Fuel,"Energy Use: Total: Jet Fuel": Reference case,2-AEO2018.126.ref2018-d121317a,"quads",3.333664,3.417866,3.45746,3.517805,3.558178,3.614527,3.667471,3.71157,3.763518,3.81769,3.874047,3.934736,4.004868,4.074996,4.14186,4.208073,4.276619,4.342299,4.408159,4.474495,4.541128,4.604391,4.669665,4.735752,4.803049,4.868456,4.935071,5.002616,5.071,5.140934,5.211776,5.282762,5.35384,5.42396,5.497342,"1.5%"
Kerosene,"Energy Use: Total: Kerosene": Reference case,2-AEO2018.127.ref2018-d121317a,"quads",0.011308,0.013413,0.013131,0.012353,0.011573,0.011041,0.010616,0.010574,0.010527,0.010531,0.010553,0.010563,0.010572,0.010555,0.010568,0.010567,0.010581,0.010597,0.010617,0.010654,0.010692,0.010667,0.010698,0.010723,0.010758,0.010792,0.010859,0.010927,0.011004,0.011083,0.011187,0.011255,0.011311,0.0114,0.011486,"-0.5%"
Distillate Fuel Oil,"Energy Use: Total: Distillate Fuel Oil": Reference case,2-AEO2018.128.ref2018-d121317a,"quads",8.086111,8.32544,8.596004,8.59686,8.6256,8.449512,8.444288,8.430174,8.413091,8.379811,8.349379,8.305371,8.258541,8.211838,8.175463,8.139421,8.104469,8.072733,8.059736,8.060494,8.071982,8.080332,8.096197,8.110806,8.128973,8.161662,8.189354,8.222116,8.259512,8.288234,8.320004,8.358038,8.390998,8.421001,8.457037,"0.0%"
Residual Fuel Oil,"Energy Use: Total: Residual Fuel Oil": Reference case,2-AEO2018.129.ref2018-d121317a,"quads",0.939205,0.845943,0.872136,0.818441,0.61383,0.842267,0.796219,0.780916,0.813611,0.820041,0.793333,0.794095,0.792534,0.789064,0.785091,0.779342,0.774777,0.769659,0.764064,0.758414,0.756218,0.738479,0.731938,0.722391,0.713993,0.701566,0.695675,0.69007,0.686888,0.68406,0.688928,0.688016,0.682609,0.679118,0.672715,"-0.7%"
Petrochemical Feedstocks,"Energy Use: Total: Petrochemical Feedstocks": Reference case,2-AEO2018.130.ref2018-d121317a,"quads",0.6425,0.7112,0.7336,0.801519,0.854914,0.890843,0.927457,0.971709,1.021586,1.046614,1.064668,1.089299,1.121241,1.149436,1.174125,1.195683,1.208448,1.228037,1.234779,1.239385,1.247324,1.263681,1.291112,1.29959,1.300585,1.307737,1.305369,1.305688,1.30656,1.308335,1.307523,1.309595,1.31202,1.312574,1.31636,"1.9%"
Other Petroleum,"Energy Use: Total: Other Petroleum": Reference case,2-AEO2018.131.ref2018-d121317a,"quads",3.530338,3.567689,3.748324,3.8292,3.746723,3.688949,3.694039,3.705073,3.720116,3.731181,3.713781,3.743077,3.76119,3.778451,3.791663,3.85083,3.861786,3.883379,3.912441,3.950224,3.974096,3.995815,4.027503,4.054446,4.089016,4.107419,4.127371,4.153289,4.167607,4.193757,4.222831,4.261649,4.30258,4.334828,4.372978,"0.6%"
Petroleum and Other Liquids Subtotal,"Energy Use: Total: Liquid Fuels Subtotal": Reference case,2-AEO2018.132.ref2018-d121317a,"quads",37.085548,37.504902,38.436871,38.367702,38.006672,37.793365,37.506603,37.235027,37.011208,36.66214,36.33215,36.132877,35.987976,35.849056,35.726795,35.667477,35.556484,35.491417,35.429195,35.402107,35.425858,35.457092,35.570946,35.632381,35.713989,35.81316,35.903816,36.031464,36.175583,36.326069,36.498676,36.709183,36.931763,37.152176,37.379971,"-0.0%"
